date,SiteID,MeanPM25Concentration,SITE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
1/1/20,60010007,8.6,Livermore,California,1,Alameda,37.687526,-121.784217,9.5,4.4,16.1,0,0,307,6.5,,1020,
1/2/20,60010007,4.5,Livermore,California,1,Alameda,37.687526,-121.784217,8.9,5.6,16.1,0,0,17.000000000000004,2,,1021.4,
1/3/20,60010007,14.2,Livermore,California,1,Alameda,37.687526,-121.784217,8,2.8,15.6,0,0,18,3.7,,1022.8,
1/4/20,60010007,10.9,Livermore,California,1,Alameda,37.687526,-121.784217,9.1,3.3,15,0,0,350,6.5,,1028.1,
1/5/20,60010007,7.8,Livermore,California,1,Alameda,37.687526,-121.784217,7.4,1.1,15.6,0,0,10,6.8,,1033.3,
1/6/20,60010007,6.2,Livermore,California,1,Alameda,37.687526,-121.784217,7.2,1.7,14.4,0,0,41,7.1,,1031.2,
1/7/20,60010007,6.9,Livermore,California,1,Alameda,37.687526,-121.784217,7.3,1.1,15.6,0,0,299,7.3,,1022.5,
1/8/20,60010007,3,Livermore,California,1,Alameda,37.687526,-121.784217,9.7,6.1,13.3,0,0,270,8.6,,1019.6,
1/9/20,60010007,6,Livermore,California,1,Alameda,37.687526,-121.784217,8.4,3.3,11.1,1.1,0,12,8.2,,1018.2,
1/10/20,60010007,5.5,Livermore,California,1,Alameda,37.687526,-121.784217,6.4,0.6,14.4,0,0,355,2.7,,1025.3,
1/11/20,60010007,5.9,Livermore,California,1,Alameda,37.687526,-121.784217,8.7,2.8,13.3,0.3,0,323,8.2,,1023.9,
1/12/20,60010007,5.8,Livermore,California,1,Alameda,37.687526,-121.784217,5.8,0.6,11.7,0,0,308,5,,1022.3,
1/13/20,60010007,2.9,Livermore,California,1,Alameda,37.687526,-121.784217,9.1,3.9,12.2,0,0,258,10.1,,1021.8,
1/14/20,60010007,4.7,Livermore,California,1,Alameda,37.687526,-121.784217,8.8,2.8,12.2,0.8,0,266,10.6,,1022.3,
1/15/20,60010007,5.7,Livermore,California,1,Alameda,37.687526,-121.784217,4.9,0.6,10.6,0,0,9,2.5,,1017.6,
1/16/20,60010007,2.1,Livermore,California,1,Alameda,37.687526,-121.784217,7.5,5,11.7,20.1,0,207,14.1,,1011.4,
1/17/20,60010007,5.7,Livermore,California,1,Alameda,37.687526,-121.784217,5.6,1.1,11.7,0,0,45,6.7,,1025,
1/18/20,60010007,5.8,Livermore,California,1,Alameda,37.687526,-121.784217,5.9,1.7,10,0,0,46,10,,1026.6,
1/19/20,60010007,8.9,Livermore,California,1,Alameda,37.687526,-121.784217,6,4.4,7.2,0,0,61,15.2,,1020.8,
1/20/20,60010007,16,Livermore,California,1,Alameda,37.687526,-121.784217,7.6,5,11.1,0,0,2,3.3,,1017,
1/21/20,60010007,2.6,Livermore,California,1,Alameda,37.687526,-121.784217,11.1,7.2,15,0,0,281,7.6,,1019.5,
1/22/20,60010007,3.7,Livermore,California,1,Alameda,37.687526,-121.784217,12.1,8.3,16.7,0.5,0,9,4.5,,1023.4,
1/23/20,60010007,7.4,Livermore,California,1,Alameda,37.687526,-121.784217,9.8,6.1,13.9,0,0,28,5.2,,1022.4,
1/24/20,60010007,8.1,Livermore,California,1,Alameda,37.687526,-121.784217,11.3,5.6,19.4,0,0,352,4.7,,1020.9,
1/25/20,60010007,7.2,Livermore,California,1,Alameda,37.687526,-121.784217,13.1,8.3,17.8,0,0,3.0000000000000004,4.4,,1020,
1/26/20,60010007,3.2,Livermore,California,1,Alameda,37.687526,-121.784217,12.5,7.2,15.6,3.2,0,292,8.1,,1022.9,
1/27/20,60010007,3.5,Livermore,California,1,Alameda,37.687526,-121.784217,9.6,4.4,14.4,0,0,311.99999999999994,6.4,,1028.4,
1/28/20,60010007,3.7,Livermore,California,1,Alameda,37.687526,-121.784217,10.5,6.7,14.4,0.8,0,320,6.8,,1026.8,
1/29/20,60010007,6.1,Livermore,California,1,Alameda,37.687526,-121.784217,9.1,4.4,16.7,0,0,342,4.5,,1025.35,
1/30/20,60010007,6.8,Livermore,California,1,Alameda,37.687526,-121.784217,10.2,5.6,17.2,0,0,42,5,,1023.9,
1/31/20,60010007,10.7,Livermore,California,1,Alameda,37.687526,-121.784217,11,5.6,19.4,0,0,40,6.9,,1026,
2/1/20,60010007,14.6,Livermore,California,1,Alameda,37.687526,-121.784217,10.5,4.4,18.3,0,0,24.000000000000004,4.7,,1024.7,
2/2/20,60010007,6.3,Livermore,California,1,Alameda,37.687526,-121.784217,9.3,4.4,13.3,0,0,318,12.8,,1019.2,
2/3/20,60010007,2.3,Livermore,California,1,Alameda,37.687526,-121.784217,6,-1.1,11.7,0,0,358,14.7,,1020.3,
2/4/20,60010007,2,Livermore,California,1,Alameda,37.687526,-121.784217,7.7,2.2,11.7,0,0,19,12.2,,1023.9,
2/5/20,60010007,5.3,Livermore,California,1,Alameda,37.687526,-121.784217,7.6,0.6,17.8,0,0,19,3.9,,1023.8,
2/6/20,60010007,8.3,Livermore,California,1,Alameda,37.687526,-121.784217,9.5,2.8,18.3,0,0,42,6.5,,1021,
2/7/20,60010007,12.4,Livermore,California,1,Alameda,37.687526,-121.784217,10.4,3.3,20.6,0,0,13,2.2,,1019.9,
2/8/20,60010007,10,Livermore,California,1,Alameda,37.687526,-121.784217,9.2,3.9,16.1,0,0,12,3.6,,1017.45,
2/9/20,60010007,1.1,Livermore,California,1,Alameda,37.687526,-121.784217,11.9,5,15.6,0,0,1,30.5,,1015,
2/10/20,60010007,1.7,Livermore,California,1,Alameda,37.687526,-121.784217,14.6,7.8,21.7,0,0,66,11,,1016.4,
2/11/20,60010007,2.5,Livermore,California,1,Alameda,37.687526,-121.784217,15.4,8.3,22.2,0,0,49.00000000000001,11,,1017.5,
2/12/20,60010007,5.8,Livermore,California,1,Alameda,37.687526,-121.784217,11.8,5.6,20.6,0,0,21,4.8,,1016.8,
2/13/20,60010007,8.5,Livermore,California,1,Alameda,37.687526,-121.784217,9.3,3.9,15.6,0,0,324,7.5,,1017.9,
2/14/20,60010007,8,Livermore,California,1,Alameda,37.687526,-121.784217,11,6.7,17.2,0,0,356,3.9,,1019,
2/15/20,60010007,10.3,Livermore,California,1,Alameda,37.687526,-121.784217,10.8,3.9,19.4,0,0,349,3.1,,1022.1,
2/19/20,60010007,7.1,Livermore,California,1,Alameda,37.687526,-121.784217,9.5,1.1,19.4,0,0,39,5,,1018.8,
2/20/20,60010007,11.4,Livermore,California,1,Alameda,37.687526,-121.784217,10.7,3.3,18.9,0,0,36,5.9,,1019.5,
2/21/20,60010007,8.4,Livermore,California,1,Alameda,37.687526,-121.784217,13.2,6.1,20.6,0,0,31,6.5,,1017.1,
2/22/20,60010007,9.9,Livermore,California,1,Alameda,37.687526,-121.784217,12.7,8.3,19.4,0,0,285,13,,1016,
2/23/20,60010007,5.6,Livermore,California,1,Alameda,37.687526,-121.784217,11.3,7.2,15.6,0,0,258,10.4,,1025.8,
2/24/20,60010007,4.7,Livermore,California,1,Alameda,37.687526,-121.784217,12,4.4,22.8,0,0,337,5.6,,1026.9,
2/25/20,60010007,3.6,Livermore,California,1,Alameda,37.687526,-121.784217,14.1,5,22.8,0,0,70,11.1,,1024.7,
2/26/20,60010007,9.6,Livermore,California,1,Alameda,37.687526,-121.784217,14,4.4,25,0,0,24.000000000000004,3.8,,1025.4,
2/27/20,60010007,11.9,Livermore,California,1,Alameda,37.687526,-121.784217,14.4,5.6,23.9,0,0,36,7.1,,1022.8,
2/28/20,60010007,10.8,Livermore,California,1,Alameda,37.687526,-121.784217,15.5,8.3,26.1,0,0,335,6,,1019.2,
2/29/20,60010007,7.1,Livermore,California,1,Alameda,37.687526,-121.784217,11.2,7.8,15,0,0,264,16.1,,1017.1,
3/1/20,60010007,3.6,Livermore,California,1,Alameda,37.687526,-121.784217,10.4,6.7,13.3,0,0,340,13.5,,1014.8,
3/2/20,60010007,1.9,Livermore,California,1,Alameda,37.687526,-121.784217,15.4,10,21.1,0,0,11,17.5,,1016.4,
3/3/20,60010007,4.1,Livermore,California,1,Alameda,37.687526,-121.784217,16.6,9.4,23.9,0,0,56,9.3,,1015.9,
3/4/20,60010007,8,Livermore,California,1,Alameda,37.687526,-121.784217,15.3,6.7,25,0,0,45,6.1,,1017.4,
3/5/20,60010007,11,Livermore,California,1,Alameda,37.687526,-121.784217,12.5,6.1,20.6,0,0,321,9.1,,1019.1,
3/6/20,60010007,4.6,Livermore,California,1,Alameda,37.687526,-121.784217,12.6,10.6,17.2,0,0,274,15.7,,1014.8,
3/7/20,60010007,2.1,Livermore,California,1,Alameda,37.687526,-121.784217,10.1,8.3,13.9,5.8,0,252,10.9,,1013.3,
